"Process","PID","ProcessPath","State","Local","Remote","Flags"
,"37444",,"Bound",":::62968",":::0",""
,"29336",,"Bound",":::61169",":::0",""
,"23924",,"Bound",":::60425",":::0",""
,"12372",,"Bound",":::60375",":::0",""
,"12372",,"Bound",":::60374",":::0",""
,"12372",,"Bound",":::60373",":::0",""
,"12372",,"Bound",":::60372",":::0",""
,"12372",,"Bound",":::60371",":::0",""
,"40648",,"Bound",":::59963",":::0",""
,"21064",,"Bound",":::59873",":::0",""
,"22628",,"Bound",":::59442",":::0",""
,"22628",,"Bound",":::59441",":::0",""
,"8556",,"Bound",":::58296",":::0",""
,"37444",,"Bound",":::57685",":::0",""
,"37444",,"Bound",":::57629",":::0",""
,"36100",,"Bound",":::55333",":::0",""
,"31776",,"Bound",":::55244",":::0",""
,"37444",,"Bound",":::52699",":::0",""
,"8948",,"Bound",":::49240",":::0",""
,"8948",,"Bound",":::49239",":::0",""
,"8948",,"Bound",":::49238",":::0",""
,"8948",,"Bound",":::49237",":::0",""
,"8948",,"Bound",":::49236",":::0",""
,"8948",,"Bound",":::49235",":::0",""
,"37444",,"Bound",":::49232",":::0",""
,"37444",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:62968","2606:4700:10::6814:1d42:443","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:62542","2607:f8b0:4023:2009::68:443","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:61606","2607:f8b0:4023:200b::5e:443","PUBLIC_REMOTE"
,"29336",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:61169","2603:1036:30c:c74::2:443","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:60484","2607:f8b0:4023:200b::12:443","PUBLIC_REMOTE"
,"23924",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:60425","2603:1036:307:401c::2:443","PUBLIC_REMOTE"
,"560",,"Listen",":::60345",":::0","LISTENING"
,"40648",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:59963","2603:1030:40c:e::1:443","PUBLIC_REMOTE"
,"21064",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:59873","2600:1405:8400:12::173e:e28a:443","PUBLIC_REMOTE"
,"22628",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:59442","2603:1061:10::13:443","PUBLIC_REMOTE"
,"22628",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:59441","2603:1061:10::13:443","PUBLIC_REMOTE"
,"8556",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:58296","2603:1030:40c:e:::443","PUBLIC_REMOTE"
,"37444",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:57685","2a06:98c1:3108::ac40:94eb:443","PUBLIC_REMOTE"
,"37444",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:57629","2607:f8b0:4023:200b::bc:5228","PUBLIC_REMOTE"
,"36100",,"CloseWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:55333","2607:f8b0:4023:2009::5f:443","PUBLIC_REMOTE"
,"31776",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:55244","2600:1901:0:d981:::443","PUBLIC_REMOTE"
,"37444",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:52699","2607:f8b0:4023:2009::bc:5228","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:52154","2607:f8b0:4023:200b::8a:443","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:51136","2607:f8b0:4023:2009::11:443","PUBLIC_REMOTE"
,"1732",,"Listen",":::49669",":::0","LISTENING"
,"5400",,"Listen",":::49668",":::0","LISTENING"
,"3356",,"Listen",":::49667",":::0","LISTENING"
,"2556",,"Listen",":::49666",":::0","LISTENING"
,"1644",,"Listen",":::49665",":::0","LISTENING"
,"1760",,"Listen",":::49664",":::0","LISTENING"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49252","2600:1405:8400:13::17de:3e8:80","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:2efe:ce67:7a4:cd1e:49251","2600:1405:8400:13::17de:3e8:80","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49249","2600:1405:8400:13::17de:3e8:80","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:2efe:ce67:7a4:cd1e:49248","2600:1405:8400:13::17de:3e8:80","PUBLIC_REMOTE"
,"0",,"TimeWait","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49241","2607:f8b0:4023:200b::5f:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49240","2607:f8b0:4023:200b::5f:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49239","2607:f8b0:4023:2009::84:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49238","2607:f8b0:4023:2007::5f:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49237","2607:f8b0:4023:200b::5f:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49236","2607:f8b0:4023:200b::5f:443","PUBLIC_REMOTE"
,"8948",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49235","2607:f8b0:4023:200b::5f:443","PUBLIC_REMOTE"
,"37444",,"Established","2605:59c0:43f0:ad08:a907:5f56:57e0:3c84:49232","2a06:98c1:3107::6812:2715:443","PUBLIC_REMOTE"
,"26428",,"Listen",":::7680",":::0","LISTENING"
,"9160",,"Listen",":::7070",":::0","LISTENING"
,"4",,"Listen",":::5357",":::0","LISTENING"
,"4",,"Listen",":::1487",":::0","LISTENING"
,"4",,"Listen",":::445",":::0","LISTENING"
,"1000",,"Listen",":::135",":::0","LISTENING"
,"37444",,"Bound","0.0.0.0:64113","0.0.0.0:0",""
,"22456",,"Bound","0.0.0.0:63152","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:63023","0.0.0.0:0",""
,"4756",,"Bound","0.0.0.0:61166","0.0.0.0:0",""
,"33712",,"Bound","0.0.0.0:61165","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:59949","0.0.0.0:0",""
,"31444",,"Bound","0.0.0.0:59330","0.0.0.0:0",""
,"4756",,"Bound","0.0.0.0:58883","0.0.0.0:0",""
,"23968",,"Bound","0.0.0.0:58874","0.0.0.0:0",""
,"9160",,"Bound","0.0.0.0:58852","0.0.0.0:0",""
,"5252",,"Bound","0.0.0.0:58835","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:56541","0.0.0.0:0",""
,"31776",,"Bound","0.0.0.0:55247","0.0.0.0:0",""
,"31776",,"Bound","0.0.0.0:55245","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:54675","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:54404","0.0.0.0:0",""
,"8496",,"Bound","0.0.0.0:53401","0.0.0.0:0",""
,"26036",,"Bound","0.0.0.0:53400","0.0.0.0:0",""
,"8948",,"Bound","0.0.0.0:53399","0.0.0.0:0",""
,"26036",,"Bound","0.0.0.0:53395","0.0.0.0:0",""
,"8948",,"Bound","0.0.0.0:53394","0.0.0.0:0",""
,"8496",,"Bound","0.0.0.0:53021","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:52581","0.0.0.0:0",""
,"4756",,"Bound","0.0.0.0:51026","0.0.0.0:0",""
,"39652",,"Bound","0.0.0.0:51025","0.0.0.0:0",""
,"37444",,"Bound","0.0.0.0:49922","0.0.0.0:0",""
,"20124",,"Bound","0.0.0.0:49375","0.0.0.0:0",""
,"9052",,"Bound","0.0.0.0:49247","0.0.0.0:0",""
,"38096",,"Bound","0.0.0.0:49244","0.0.0.0:0",""
,"40648",,"Bound","0.0.0.0:49234","0.0.0.0:0",""
,"9328",,"Bound","0.0.0.0:49233","0.0.0.0:0",""
,"37444",,"Established","192.168.1.254:64113","140.82.113.25:443","PUBLIC_REMOTE"
,"17976",,"Listen","127.0.0.1:64015","0.0.0.0:0","LISTENING"
,"22456",,"Established","192.168.1.254:63152","54.178.1.64:443","PUBLIC_REMOTE"
,"37444",,"Established","192.168.1.254:63023","52.0.218.127:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:61785","20.189.173.9:443","PUBLIC_REMOTE"
,"4756",,"Established","192.168.1.254:61166","23.62.226.135:443","PUBLIC_REMOTE"
,"33712",,"Established","192.168.1.254:61165","3.225.156.146:443","PUBLIC_REMOTE"
,"37444",,"Established","192.168.1.254:59949","151.101.65.91:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:59440","34.54.84.110:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:59438","51.8.71.184:443","PUBLIC_REMOTE"
,"4756",,"Established","192.168.1.254:58883","34.139.114.151:7500","PUBLIC_REMOTE"
,"23968",,"Established","192.168.1.254:58874","54.243.226.44:443","PUBLIC_REMOTE"
,"23968",,"Listen","127.0.0.1:58866","0.0.0.0:0","LISTENING"
,"23968",,"Listen","127.0.0.1:58865","0.0.0.0:0","LISTENING"
,"23968",,"Established","127.0.0.1:58865","127.0.0.1:49244",""
,"9160",,"Established","192.168.1.254:58852","5.188.124.23:443","PUBLIC_REMOTE"
,"5252",,"Established","192.168.1.254:58835","20.33.105.0:443","PUBLIC_REMOTE"
,"23968",,"Listen","127.0.0.1:56908","0.0.0.0:0","LISTENING"
,"37444",,"Established","192.168.1.254:56541","109.176.239.69:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:55331","18.155.173.9:443","PUBLIC_REMOTE"
,"31776",,"Established","192.168.1.254:55247","34.96.125.79:443","PUBLIC_REMOTE"
,"31776",,"Established","192.168.1.254:55245","35.186.247.156:443","PUBLIC_REMOTE"
,"37444",,"Established","192.168.1.254:54675","52.19.11.57:8282","PUBLIC_REMOTE"
,"37444",,"Established","192.168.1.254:54404","44.196.135.195:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:53776","34.54.84.110:443","PUBLIC_REMOTE"
,"8496",,"Established","127.0.0.1:53401","127.0.0.1:53387",""
,"26036",,"Established","127.0.0.1:53400","127.0.0.1:53393",""
,"8948",,"Established","127.0.0.1:53399","127.0.0.1:53377",""
,"26036",,"Established","127.0.0.1:53395","127.0.0.1:53387",""
,"8948",,"Established","127.0.0.1:53394","127.0.0.1:53377",""
,"8948",,"Listen","127.0.0.1:53393","0.0.0.0:0","LISTENING"
,"8948",,"Established","127.0.0.1:53393","127.0.0.1:53400",""
,"0",,"TimeWait","127.0.0.1:53388","127.0.0.1:49245",""
,"0",,"TimeWait","127.0.0.1:53388","127.0.0.1:53258",""
,"0",,"TimeWait","127.0.0.1:53388","127.0.0.1:53257",""
,"8948",,"Listen","127.0.0.1:53388","0.0.0.0:0","LISTENING"
,"0",,"TimeWait","127.0.0.1:53388","127.0.0.1:49243",""
,"8948",,"Listen","127.0.0.1:53387","0.0.0.0:0","LISTENING"
,"8948",,"Established","127.0.0.1:53387","127.0.0.1:53395",""
,"8948",,"Established","127.0.0.1:53387","127.0.0.1:53021",""
,"8948",,"Established","127.0.0.1:53387","127.0.0.1:53401",""
,"26036",,"Listen","127.0.0.1:53377","0.0.0.0:0","LISTENING"
,"26036",,"Established","127.0.0.1:53377","127.0.0.1:53399",""
,"26036",,"Established","127.0.0.1:53377","127.0.0.1:53394",""
,"0",,"TimeWait","192.168.1.254:53259","34.54.84.110:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:53256","20.52.64.201:443","PUBLIC_REMOTE"
,"8496",,"Established","127.0.0.1:53021","127.0.0.1:53387",""
,"37444",,"Established","192.168.1.254:52581","157.90.91.75:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:51856","34.110.164.207:443","PUBLIC_REMOTE"
,"39652",,"Established","192.168.1.254:51025","54.204.24.43:443","PUBLIC_REMOTE"
,"37444",,"Established","192.168.1.254:49922","18.97.36.13:443","PUBLIC_REMOTE"
,"1732",,"Listen","0.0.0.0:49669","0.0.0.0:0","LISTENING"
,"5400",,"Listen","0.0.0.0:49668","0.0.0.0:0","LISTENING"
,"3356",,"Listen","0.0.0.0:49667","0.0.0.0:0","LISTENING"
,"2556",,"Listen","0.0.0.0:49666","0.0.0.0:0","LISTENING"
,"1644",,"Listen","0.0.0.0:49665","0.0.0.0:0","LISTENING"
,"1760",,"Listen","0.0.0.0:49664","0.0.0.0:0","LISTENING"
,"0",,"TimeWait","192.168.1.254:49379","51.11.168.232:443","PUBLIC_REMOTE"
,"20124",,"Established","192.168.1.254:49375","20.190.151.67:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:49374","204.79.197.222:443","PUBLIC_REMOTE"
,"9052",,"Established","192.168.1.254:49247","52.182.143.215:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:49246","34.54.84.110:443","PUBLIC_REMOTE"
,"38096",,"Established","127.0.0.1:49244","127.0.0.1:58865",""
,"0",,"TimeWait","192.168.1.254:49242","13.107.5.93:443","PUBLIC_REMOTE"
,"40648",,"Established","192.168.1.254:49234","20.189.173.3:443","PUBLIC_REMOTE"
,"9328",,"Established","192.168.1.254:49233","172.178.160.22:443","PUBLIC_REMOTE"
,"23968",,"Listen","127.0.0.1:45623","0.0.0.0:0","LISTENING"
,"26332",,"Listen","127.0.0.1:41343","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:16494","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:15393","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:15292","0.0.0.0:0","LISTENING"
,"21608",,"Listen","127.0.0.1:11434","0.0.0.0:0","LISTENING"
,"560",,"Listen","127.0.0.1:9101","0.0.0.0:0","LISTENING"
,"9160",,"Listen","0.0.0.0:7070","0.0.0.0:0","LISTENING"
,"7524",,"Listen","0.0.0.0:5040","0.0.0.0:0","LISTENING"
,"9236",,"Listen","0.0.0.0:912","0.0.0.0:0","LISTENING"
,"9236",,"Listen","0.0.0.0:902","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.192.1:139","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.116.1:139","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.1.254:139","0.0.0.0:0","LISTENING"
,"1000",,"Listen","0.0.0.0:135","0.0.0.0:0","LISTENING"
